Rater1,R1_Cat1,R1_Cat2,R1_Cat3,R1_Cat4,R1_Cat5,R1_Total,Rater2,R2_Cat1,R2_Cat2,R2_Cat3,R2_Cat4,R2_Cat5,R2_Total
A1,2,2,0,1,0,5,B1,1,2,0,0,0,3
A2,0,1,0,0,0,1,B2,1,2,1,1,1,6
A3,0,1,0,0,0,1,B3,0,2,2,2,0,6
A4,0,0,0,0,0,0,B4,0,2,2,2,1,7
A5,2,0,0,0,0,2,B5,2,2,2,2,0,8
A6,0,0,0,0,0,0,B6,0,1,0,0,0,1
A7,1,0,1,0,0,2,B7,0,2,0,1,0,3
A8,0,0,0,0,2,2,B8,0,2,1,2,0,5
A9,0,0,0,0,0,0,B9,0,2,2,2,1,7
A10,1,2,0,0,0,3,B10,1,2,2,2,0,7
A11,0,1,0,0,0,1,B11,0,2,2,2,0,6
A12,1,0,0,0,0,1,B12,0,0,0,0,0,0
A13,0,0,0,0,0,0,B13,0,2,2,2,0,6
A14,2,2,1,1,0,6,B14,2,2,0,0,0,4
A15,0,2,2,2,0,6,B15,1,2,2,2,0,7
A16,0,1,0,0,0,1,B16,0,0,0,0,0,0
A17,0,0,0,0,0,0,B17,0,1,0,0,0,1
A18,0,1,0,1,0,2,B18,2,2,2,1,0,7
A20,2,0,1,1,0,4,B20,0,2,2,1,0,5
